Frame,Time,Outer_W,Outer_H,Inner_W,Inner_H,Outer_R,Inner_R
8,713000,182,182,131,127,1,0.969465649
18,1023000,198,193,113,127,,
28,1333000,202,192,113,127,,
38,1643000,211,196,101,127,,
48,1953000,215,196,99,127,,
58,2263000,215,202,93,127,,
68,2573000,218,202,91,127,,
78,2883000,217,202,91,127,,
0,2852000,217,191,96,127,1.136125654,1.322916667
10,3162000,226,194,91,127,1.164948454,1.395604396
20,3472000,225,198,90,127,1.136363636,1.411111111
30,3782000,231,202,86,127,1.143564356,1.476744186
40,4092000,233,206,88,127,1.131067961,1.443181818
50,4402000,235,202,82,127,1.163366337,1.548780488
60,4712000,241,202,83,127,1.173267327,1.530120482
70,5022000,239,202,83,127,1.183168317,1.530120482
80,5332000,241,202,81,127,1.193069307,1.567901235
90,5642000,241,202,79,127,1.193069307,1.607594937